Title	ArtistId	Name	Category	Medium	Dimensions	YearMade	NumberMade	EditionsAcquired	NumberInInventory	NumberSold	Locations	Cost	Price	Image
Pilots 	100	Alex Andreev	Digital Print	Digital Print on unstretched canvas	"28""h x 46""w"	2015	50	"2,3,45,12,22,17"	4	2	South	$945.00 	"$1,500 "	http://www.ugallery.com/digital-printmaking-pilots
Vesper	100	Alex Andreev	Digital Print	Digital Print on unstretched canvas	"37""x28"""	2015	50	"19,21,24,49"	3	1	East	$945.00 	"$1,500 "	http://www.ugallery.com/digital-printmaking-vesper
Under the Rain	100	Alex Andreev	Digital Print	Digital Print on unstretched canvas	"26.3""x19.7"""	2010	50	44-50	4	3	East	$976.50 	"$1,550 "	http://www.ugallery.com/printmaking-digital-under-the-rain
Mountian Dance	101	Andrea Epstein	Print	Printmakeing on paper	"26""x40"""	2015	1		1	0	North	$425.25 	$675 	http://www.ugallery.com/printmaking-mountain-dance
Nightmare Squid	102	Anthony Christopher	Drawing	Ink artwork on Paper	"12""x9"""	2015	1		1	0	East	$346.50 	$550 	http://www.ugallery.com/ink-artwork-nightmare-squid
Disneyland	103	Art Grafts	Digital Print	Digital Printmaking on metal	"40""x40"""	2015	4	"1,2"	2	0	West	"$1,165.50 "	"$1,850 "	http://www.ugallery.com/digital-printmaking-disneyland
Fish Can't	103	Art Grafts	Digital Print	Digital Printmaking on metal	"34""x48""x25"""	2011	4	3	1	0	West	"$1,039.50 "	"$1,650 "	http://www.ugallery.com/printmaking-digital-fish-can-t
Watermelon Outlook	104	Autumn Rose	Mixed Media	Mixed media astwork on strectched canvas	"12""x16""x1"""	2015	1		0	1	North	$220.50 	$350 	http://www.ugallery.com/mixed-media-artwork-watermelon-outlook
Mute Piano	105	Beat Hauser	Photography	Fine Art Print	"10""x15"""	2011	-1	17-119	11	1	West	$78.75 	$125 	http://www.ugallery.com/photography-mute-piano
Phantom Island Sunset - Crater Lake National Park Oregon	106	Brian Harig	Photography	Fine Art Print	"10""x15"""	2012	-1	7-9	3	0	West	$78.75 	$125 	http://www.ugallery.com/photography-phantom-island-sunset-crater-lake-national-park-oregon
Red Ram	107	Chelsea Beery	Photography	Fine Art Print	"16' x 24"""	2012	-1		5	3	East	$141.75 	$225 	http://www.ugallery.com/photography-red-ram
The Ladies Room	108	Clemence Dubois	Oil Painting	Oil painting on stretched canvas	"20""x24""x8"""	2016	1		0	1	North	$645.75 	"$1,025 "	http://www.ugallery.com/oil-painting-the-ladies-room
Heagon-Greyscale	109	David Ballinger	Other Media	papercut Artwork	"16""x22""x1"""	2013	1		1	0	North	"$1,055.25 "	"$1,675 "	http://www.ugallery.com/other-media-hexagon-greyscale
Path to the Lake	110	David Rickert	Oil Painting	Oil painting on canvas board	"11""x14""x25"""	2015	1		1	0	North	$378.00 	$600 	http://www.ugallery.com/oil-painting-path-to-the-lake-43295
Big Dog	111	Doug Lawler	Print	Printmakeing on paper	"12""x4"""	2004	75	23-28	5	1	East	$173.25 	$275 	http://www.ugallery.com/printmaking-big-dog
The Peacock	111	Doug Lawler	Drawing	Pastel on wood	"26""x24""x2"""	2015	1		1	0	South	"$1,008.00 "	"$1,600 "	http://www.ugallery.com/pastel-artwork-the-peacock
The Amputee	112	Drew McSherry	Drawing	Charcoal drawing on paper	"25""h x 19""w"	2015	1		1	0	West	$315.00 	$500 	http://www.ugallery.com/charcoal-drawing-the-amputee
Death's Head	112	Drew McSherry	Drawing	Charcoal drawing on paper	"25""x19"""	2015	1		1	0	North	$252.00 	$400 	http://www.ugallery.com/charcoal-drawing-death-s-head
Bruges Street View	113	Elizabeth Elkin	Oil Painting	Oil painting on stretched canvas	"24""x18""x1.5"""	2014	1		1	0	South	$929.25 	"$1,475 "	http://www.ugallery.com/oil-painting-bruges-street-view
Birds	114	Freja Erixan	Digital Print	Digital Printmaking on paper	"20""x28""x1"""	2015	-1	33-36	3	1	North	$315.00 	$500 	http://www.ugallery.com/digital-printmaking-birds
Luz	115	Heather Patterson	Sculpture	Sculpture on Wood	"23.5"" x 16""x 3"""	2014	1		1	0	West	$551.25 	$875 	http://www.ugallery.com/sculpture-luz
